instance	forecast	    average	    score
44	90308.6	    79958.12	1
49	99012.05	100535.22	1
27	52527.99	53655.3	    0.59
47	86891.79	77921.29	0.55
42	88553.61	127670.93	0.54
43	85383.99	86699.57	0.54
48	86590.67	85022.87	0.52
28	57024.26	62649.64	0.47
31	44403.39	45605.18	0.47
46	87618.92	79746.36	0.47
33	61019.43	76955.05	0.4
22	41628.01	43293.42	0.35
37	57357	    69863.85	0.33
34	73742.11	73703.03	0.29
38	91321.53	109252.98	0.29
1	8879.61	    9249.95	    0.28
41	100047.4	109539.53	0.28
7	31273.95	24891.29	0.26
32	54359.56	74582.92	0.16
0	9170.15	    9443.35	    0.15
23	47108.5	    42272.05	0.14
12	21395.4	    21034.97	0.12
29	58061.05	65089.17	0.11
8	24499.88	22772.03	0.1
4	13953.27	18347.31	0.08
40	47760.58	105750.9	0.08
39	97362.95	141352.06	0.07
5	16627.46	16607.34	0.05
6	20269.63	20510.27	0.05
15	28293.39	32749.74	0.05
14	23518.19	23360.33	0.02
18	78942.48	69598.91	0.02
45	60451.36	47673.34	0.02
35	65204.17	71475.26	0.01
2	8049.07	    10495.89	0
3	11459.9	    10765.19	0
9	25138.68	25119.83	0
10	12924.75	13873.69	0
11	20940.28	20696.4	    0
13	23242.09	22840.81	0
16	30207.78	31837.92	0
17	43423.96	50399.37	0
19	69318.9	    49648.51	0
20	32697.65	32039.25	0
21	32860.11	41262.78	0
24	47321.06	45141.61	0
25	40044.41	41668.82	0
26	42066.01	44009.45	0
30	39264.92	45178.32	0
36	55470.67	64695.76	0
